,Raw Milk,GP W,GP R,PR W,PR R,  UHT,Butter,Mozzarella
1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2,99.76,99.51,100.44,98.79,99.93,99.15,99.02,98.77
3,99.65,98.68,100.44,96.92,98.85,98.48,99.02,98.77
4,99.06,97.86,99.56,95.71,99.05,98.81,99.02,98.77
5,98.95,97.86,99.21,94.18,100.20,98.94,99.02,98.77
6,98.65,97.86,99.82,92.20,99.39,100.04,99.02,98.77
7,98.69,97.86,99.56,91.54,99.39,99.04,99.02,98.77
8,98.85,97.04,99.56,89.56,99.39,100.82,96.59,98.77
9,98.93,96.71,100.00,87.36,99.39,100.17,96.59,98.77
10,98.85,96.71,99.21,85.49,98.91,95.84,96.59,98.77
11,99.00,97.53,99.21,85.60,98.98,94.86,96.59,98.77
12,99.00,98.68,99.03,86.48,98.91,95.72,96.59,98.77
13,98.77,99.18,98.59,86.81,98.91,98.00,96.59,98.77
14,98.49,99.18,99.65,86.81,98.85,98.56,94.15,98.77
15,98.33,98.36,99.65,86.81,98.78,97.28,94.15,98.77
16,95.40,98.36,99.82,86.04,98.24,97.92,94.15,98.77
17,95.35,98.36,99.65,85.71,98.24,97.78,91.71,98.77
18,96.34,98.36,98.86,85.82,98.03,98.05,91.71,98.77
19,95.86,98.36,98.42,86.26,98.44,97.91,89.27,98.77
20,95.71,98.36,98.77,86.26,98.44,99.99,89.27,98.77
21,95.73,97.53,99.12,86.26,98.58,98.69,89.27,98.77
22,95.75,97.53,99.65,86.26,98.85,99.46,90.24,98.77
23,95.72,97.53,99.47,86.26,98.85,98.01,91.71,98.77
24,95.57,98.36,99.38,86.26,99.12,94.63,89.27,98.77
25,95.44,98.68,99.47,87.36,99.19,95.45,89.27,98.77
26,95.96,98.68,99.47,89.56,99.19,98.76,86.83,98.77
27,95.96,98.68,99.38,90.11,99.05,99.35,86.83,98.77
28,99.49,98.36,100.00,90.00,99.05,99.18,87.80,98.77
29,100.30,97.53,100.35,89.34,99.53,100.84,97.56,102.47
30,100.74,97.53,99.74,89.34,99.53,100.17,103.90,102.47
31,104.17,100.82,99.74,90.11,100.07,103.35,130.73,107.41
32,104.65,107.40,99.74,94.51,100.14,105.76,148.78,112.35
33,111.68,111.84,99.74,97.58,101.09,106.82,148.78,112.35
34,115.91,113.49,102.20,99.01,101.63,109.71,148.78,112.35
35,115.46,112.66,103.16,99.23,102.10,108.15,145.37,112.35
36,115.33,110.20,103.16,98.90,102.78,108.08,121.95,112.35
37,123.75,119.41,103.16,97.80,103.53,108.46,100.00,112.35
38,124.10,116.61,104.04,95.93,103.60,113.37,100.00,112.35
39,123.94,112.34,104.04,93.74,103.53,114.25,97.56,112.35
40,114.42,111.51,104.39,93.41,103.73,115.77,95.12,112.35
41,115.81,111.18,104.48,93.41,103.73,112.99,95.12,112.35
42,115.97,111.84,104.39,93.52,103.93,112.95,95.12,112.35
43,116.42,112.17,105.98,93.96,104.82,112.46,95.12,112.35
44,115.91,108.39,105.80,92.86,104.95,114.06,90.24,112.35
45,115.85,107.07,105.71,92.64,105.09,111.93,85.37,112.35
46,114.60,106.09,105.27,91.43,105.09,112.08,80.49,112.35
47,111.04,104.61,105.45,90.44,104.95,110.79,80.49,112.35
48,110.00,104.11,105.45,90.22,104.95,108.36,73.17,112.35
49,103.41,104.11,105.71,89.34,105.02,110.02,68.29,107.41
50,100.41,104.11,105.54,89.34,104.68,113.54,68.29,107.41
51,97.44,104.11,105.54,89.34,104.61,113.93,64.88,107.41
52,90.62,103.13,105.54,89.34,104.88,112.38,64.88,100.00
53,90.60,102.47,105.98,89.34,104.75,110.71,64.88,95.06
54,89.05,102.47,103.87,89.34,105.09,108.24,65.85,95.06
55,89.08,102.47,105.98,89.34,105.22,109.62,65.85,95.06
56,88.87,102.47,106.15,89.34,104.41,111.11,65.85,95.06
57,89.63,102.47,105.98,89.34,104.14,108.71,80.49,95.06
58,93.15,103.13,105.62,92.42,104.27,110.08,97.56,95.06
59,93.40,106.58,106.33,97.69,104.41,108.38,102.44,95.06
60,92.99,108.55,105.98,99.01,105.09,107.82,101.46,95.06
61,94.58,108.55,106.24,100.55,105.56,107.81,97.56,95.06
62,94.58,110.20,106.68,103.74,105.83,107.73,92.68,95.06
63,96.91,111.51,107.21,104.51,106.99,107.91,92.68,95.06
64,97.69,111.51,109.14,104.95,107.06,107.90,97.56,95.06
65,96.91,112.50,110.37,105.82,107.94,105.23,114.63,95.06
66,97.23,114.64,110.37,107.91,107.94,105.01,119.51,95.06
67,105.27,117.11,111.60,110.99,108.75,108.23,124.39,95.06
68,105.72,120.07,112.21,113.08,109.57,108.15,124.39,97.53
69,106.85,122.04,113.80,115.71,110.38,108.21,126.83,100.00
70,106.57,125.49,114.59,120.33,111.94,110.77,126.83,100.00
71,106.57,128.45,116.34,126.15,114.72,110.02,126.83,100.00
72,106.57,132.40,117.05,128.35,116.21,107.96,126.83,100.00
73,115.71,137.17,117.84,132.64,118.05,106.95,126.83,100.00
74,115.93,142.27,119.60,134.95,117.10,107.03,131.71,102.47
75,116.87,146.05,123.37,134.95,117.10,108.99,139.02,103.70
76,119.04,148.68,123.90,134.95,117.84,110.13,137.80,103.70
77,119.02,149.18,125.48,134.95,117.98,108.72,135.37,103.70
78,119.21,149.18,126.98,134.73,116.76,108.50,136.59,103.70
79,120.01,146.38,131.81,132.97,128.97,110.34,136.59,103.70
80,120.02,144.41,131.99,132.20,135.41,111.29,134.15,103.70
81,120.68,147.20,132.25,132.75,135.55,109.79,134.15,103.70
82,120.82,148.52,134.01,133.30,136.16,110.59,131.71,103.70
83,120.91,148.52,136.56,133.30,137.72,108.18,126.83,103.70
84,120.82,148.52,136.73,133.08,137.72,108.45,123.17,103.70
85,119.82,148.03,136.91,132.64,137.99,108.64,114.63,103.70
86,119.66,146.38,136.82,131.76,131.75,110.55,104.88,103.70
87,119.61,146.05,136.82,131.43,131.68,109.11,95.12,103.70
88,109.87,144.57,138.22,129.89,131.75,107.81,102.44,103.70
89,109.21,142.27,138.93,128.46,131.75,107.84,97.56,103.70
90,109.01,141.94,138.31,128.02,131.68,106.66,97.56,103.70
91,110.45,141.94,138.31,127.80,131.55,107.50,99.02,103.70
92,111.11,141.94,138.31,127.80,132.29,106.70,103.90,103.70
93,112.06,141.94,138.31,127.80,132.29,106.19,106.34,103.70
94,113.51,141.94,138.31,127.69,132.16,106.49,111.22,103.70
95,114.24,140.63,138.31,126.92,133.24,103.42,117.07,103.70
96,117.01,138.32,138.31,126.04,133.24,101.67,128.29,103.70
97,116.39,134.38,138.31,125.27,139.89,99.95,139.02,103.70
98,116.39,133.22,138.31,124.18,139.89,103.52,136.59,103.70
99,116.39,133.22,138.31,124.18,131.41,101.86,138.05,103.70
100,116.74,133.22,138.31,124.18,131.41,100.58,150.24,103.70
101,117.38,132.24,137.87,122.75,131.34,101.49,156.10,103.70
102,117.86,128.29,137.87,121.21,133.18,100.75,158.54,103.70
103,118.51,126.32,137.87,120.66,133.58,103.18,163.41,110.62
104,121.55,127.14,137.87,120.66,133.58,104.26,170.73,113.33
105,122.48,133.22,137.87,120.88,133.51,100.83,170.73,117.28
106,122.79,136.51,138.31,121.21,134.53,102.64,168.29,117.28
107,123.19,138.16,137.96,121.21,134.46,102.73,162.93,117.28
108,123.33,138.16,138.22,121.21,134.67,101.89,163.41,117.28
109,124.05,138.16,139.37,121.21,134.67,99.45,160.98,117.28
110,126.77,137.34,139.46,121.21,134.53,107.83,143.90,117.28
111,128.18,133.22,139.28,119.45,134.94,106.95,140.49,117.28
112,127.99,129.44,139.02,116.92,134.94,106.11,134.15,117.28
113,126.76,127.47,138.66,114.73,135.55,104.65,124.39,117.28
114,126.76,125.16,138.49,111.65,135.55,105.26,124.39,117.28
115,125.79,124.67,138.22,110.99,135.55,104.94,126.83,117.28
116,125.79,122.37,138.22,109.12,135.69,103.53,129.27,117.28
117,116.80,120.89,135.63,107.03,133.48,100.78,126.83,117.28
118,119.80,118.59,133.05,104.73,131.25,96.49,124.39,117.28
